audio_name,video_name,scene,label,city,location,file_name
airport-lisbon-1122-40244-a.wav,airport-lisbon-1122-40244-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40244-a
airport-lisbon-1122-40326-a.wav,airport-lisbon-1122-40326-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40326-a
airport-lisbon-1122-40334-a.wav,airport-lisbon-1122-40334-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40334-a
airport-lisbon-1122-40344-a.wav,airport-lisbon-1122-40344-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40344-a
airport-lisbon-1122-40660-a.wav,airport-lisbon-1122-40660-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40660-a
airport-lisbon-1122-40819-a.wav,airport-lisbon-1122-40819-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40819-a
airport-lisbon-1122-40888-a.wav,airport-lisbon-1122-40888-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40888-a
airport-lisbon-1122-40971-a.wav,airport-lisbon-1122-40971-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40971-a
airport-lisbon-1122-40992-a.wav,airport-lisbon-1122-40992-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-40992-a
airport-lisbon-1122-41037-a.wav,airport-lisbon-1122-41037-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41037-a
airport-lisbon-1122-41270-a.wav,airport-lisbon-1122-41270-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41270-a
airport-lisbon-1122-41394-a.wav,airport-lisbon-1122-41394-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41394-a
airport-lisbon-1122-41661-a.wav,airport-lisbon-1122-41661-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41661-a
airport-lisbon-1122-41837-a.wav,airport-lisbon-1122-41837-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41837-a
airport-lisbon-1122-41877-a.wav,airport-lisbon-1122-41877-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41877-a
airport-lisbon-1122-41917-a.wav,airport-lisbon-1122-41917-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-41917-a
airport-lisbon-1122-42055-a.wav,airport-lisbon-1122-42055-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42055-a
airport-lisbon-1122-42166-a.wav,airport-lisbon-1122-42166-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42166-a
airport-lisbon-1122-42212-a.wav,airport-lisbon-1122-42212-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42212-a
airport-lisbon-1122-42281-a.wav,airport-lisbon-1122-42281-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42281-a
airport-lisbon-1122-42582-a.wav,airport-lisbon-1122-42582-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42582-a
airport-lisbon-1122-42593-a.wav,airport-lisbon-1122-42593-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42593-a
airport-lisbon-1122-42768-a.wav,airport-lisbon-1122-42768-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42768-a
airport-lisbon-1122-42956-a.wav,airport-lisbon-1122-42956-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42956-a
airport-lisbon-1122-42966-a.wav,airport-lisbon-1122-42966-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-42966-a
airport-lisbon-1122-43015-a.wav,airport-lisbon-1122-43015-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43015-a
airport-lisbon-1122-43249-a.wav,airport-lisbon-1122-43249-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43249-a
airport-lisbon-1122-43307-a.wav,airport-lisbon-1122-43307-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43307-a
airport-lisbon-1122-43364-a.wav,airport-lisbon-1122-43364-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43364-a
airport-lisbon-1122-43393-a.wav,airport-lisbon-1122-43393-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43393-a
airport-lisbon-1122-43567-a.wav,airport-lisbon-1122-43567-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43567-a
airport-lisbon-1122-43685-a.wav,airport-lisbon-1122-43685-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43685-a
airport-lisbon-1122-43712-a.wav,airport-lisbon-1122-43712-a.mp4,airport,0,lisbon,1122,airport-lisbon-1122-43712-a
